run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:43,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:44,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:44,1671,1671,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:44,1673,1673,0,1.0,227,7.327
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:44,1673,1673,0,1.0,227,7.327
